Product Line,Product Name,Condition,Number,Set,Rarity,Quantity,Main Photo URL,Set Release Date
"YuGiOh","Nightmare Magician","Near Mint 1st Edition","DUNE-EN025","Duelist Nexus","Secret Rare","1","","7/28/2023 12:00:00 AM"
"YuGiOh","Noble Arms Museum","Near Mint 1st Edition","DUNE-EN057","Duelist Nexus","Ultra Rare","3","","7/28/2023 12:00:00 AM"
"YuGiOh","Unchained Soul Lord of Yama","Near Mint 1st Edition","DUNE-EN049","Duelist Nexus","Ultra Rare","1","","7/28/2023 12:00:00 AM"
"YuGiOh","Noh-P.U.N.K. Foxy Tune","Near Mint 1st Edition","BLMR-EN063","Battles of Legend: Monstrous Revenge","Secret Rare","1","","6/23/2023 12:00:00 AM"
"YuGiOh","Voici la Carte (Today's Menu)","Near Mint 1st Edition","WISU-EN036","Wild Survivors","Ultra Rare","2","","6/2/2023 12:00:00 AM"
"YuGiOh","Primeval Planet Perlereino","Near Mint 1st Edition","POTE-EN060","Power of the Elements","Secret Rare","1","","8/5/2022 12:00:00 AM"
"YuGiOh","Vernusylph of the Flourishing Hills","Near Mint 1st Edition","POTE-EN016","Power of the Elements","Ultra Rare","3","","8/5/2022 12:00:00 AM"
"YuGiOh","Noh-P.U.N.K. Foxy Tune","Near Mint 1st Edition","GRCR-EN005","The Grand Creators","Ultra Rare","2","","1/28/2022 12:00:00 AM"
"YuGiOh","Dingirsu, the Orcust of the Evening Star","Near Mint 1st Edition","DUOV-EN084","Duel Overload","Ultra Rare","1","","3/20/2020 12:00:00 AM"
"YuGiOh","Tour Guide From the Underworld","Near Mint 1st Edition","DUOV-EN057","Duel Overload","Ultra Rare","1","","3/20/2020 12:00:00 AM"
"YuGiOh","Neo-Spacian Dark Panther","Near Mint 1st Edition","BLRR-EN052","Battles of Legend: Relentless Revenge","Ultra Rare","1","","6/29/2018 12:00:00 AM"
"YuGiOh","Destiny HERO - Dark Angel","Near Mint 1st Edition","DESO-EN005","Destiny Soldiers","Secret Rare","1","","11/18/2016 12:00:00 AM"
"YuGiOh","Hot Red Dragon Archfiend King Calamity","Near Mint 1st Edition","SHVI-EN097","Shining Victories","Ultra Rare","1","","5/6/2016 12:00:00 AM"
"YuGiOh","Elemental HERO Stratos","Near Mint 1st Edition","MAGO-EN004","Maximum Gold","Premium Gold Rare","1","","10/9/2020 12:00:00 AM"
"YuGiOh","Blue-Eyes Alternative White Dragon (Green)","Near Mint 1st Edition","LDS2-EN008","Legendary Duelists: Season 2","Ultra Rare","1","","1/22/2021 12:00:00 AM"
"YuGiOh","Blue-Eyes Chaos Dragon","Near Mint 1st Edition","LDS2-EN017","Legendary Duelists: Season 2","Secret Rare","1","","1/22/2021 12:00:00 AM"
"YuGiOh","Red-Eyes Toon Dragon","Near Mint 1st Edition","LDS1-EN066","Legendary Duelists: Season 1","Common","1","","7/3/2020 12:00:00 AM"
